cuisine,cuisineId
Noodles and congee,051ce88919
Chinese,15dc188655
Mediterranean,1d5168ec9a
Creative,20ccbc66c1
Californian,214b5cbd02
Hunanese and Sichuan,23af18e2fd
European contemporary,23e9edeb5a
Sushi,25e2d66355
Dim Sum,2baf6a5cfd
Thai Contemporary,355d18a454
Classic French,3e8a3d4f30
French,44389f6a46
Italian,485b57adcc
Fujian,48d159c1c5
Teppanyaki,4b17c11cca
Asian contemporary,4d4c628e5b
Taizhou,51a5128279
Australian,568d388c30
Finnish,57eef27b16
Vegetarian,599271d949
Market cuisine,5defb69131
Asian,652670c84e
Meats and grills,690b92b20e
Temple cuisine,6b0c4a57b4
French contemporary,72fcfc7b84
Barbecue,74df3da1ef
Korean contemporary,791de1c57d
Seafood,7f12db393e
Asian influences,89bdde54ae
Hang Zhou,8cc8cdbd5a
Spanish,8df7f1b361
Japanese,9239c22d1d
Taiwanese,97f3aedf9d
Innovative,9f30b33098
Danish,9f9f264815
Indian,a151302157
Contemporary,a34deda01c
Mexican,a6fa784420
Street Food,ae391411d4
Cantonese Roast Meats,aec7e808a6
Classic cuisine,aecb0d8775
modern,b09be85d51
Gastropub,b3124052a5
Moroccan,b3e5455bcf
Steakhouse,b5c3e38b86
Cantonese,b75dba358e
Modern cuisine,b839692a99
International,bc440f645c
Thai,c32767e054
Sichuan-Huai Yang,c99dee5d76
Southern Thai,cd3682b1fc
Fusion,cdf2e5fcd3
Japanese contemporary,d79d741152
Korean,dec66c5bf0
creative,df0b6c410f
Peranakan,e27ed35d0e
Italian contemporary,e59f6625bf
Austrian,e73d35fdc9
Shanghainese,ea4c157a38
European,ea722c81af
American,ee70dc0a6c
Scandinavian,ef3767363e
Sichuan,f218c3d162
