name,yearId,latitude,longitude,locationId,cuisineId,price
Kilian Stuba,2,47.34858,10.17114,3f11e65538,20ccbc66c1,5
Pfefferschiff,2,47.83787,13.07917,610b44bbeb,aecb0d8775,5
Esszimmer,2,47.80685,13.03409,cbda9fb725,20ccbc66c1,5
Carpe Diem,2,47.80001,13.04006,cbda9fb725,5defb69131,5
Edvard,2,48.216503,16.36852,cffcdfd2a1,b839692a99,4
Das Loft,2,48.21272,16.37931,cffcdfd2a1,b839692a99,5
Pramerl & the Wolf,2,48.20945,16.37174,cffcdfd2a1,20ccbc66c1,5
Walter Bauer,2,48.20923,16.37672,cffcdfd2a1,aecb0d8775,5
SHIKI,2,48.204067,16.37098,cffcdfd2a1,9239c22d1d,5
Tian,2,48.20513,16.37456,cffcdfd2a1,599271d949,5
aend,2,48.18957,16.34115,cffcdfd2a1,b839692a99,5
Le Ciel by Toni MÃ¶rwald,2,48.20209,16.37156,cffcdfd2a1,aecb0d8775,5
Chez TJ,2,37.39468,-122.08044,c5411d5f8f,a34deda01c,4
ProtÃ©gÃ©,2,37.427853,-122.14362,c5411d5f8f,a34deda01c,3
Madera,2,37.42014,-122.21151,a70c3bcf1d,a34deda01c,3
The Village Pub,2,37.42897,-122.25178,a70c3bcf1d,a34deda01c,3
Plumed Horse,2,37.25648,-122.03537,c5411d5f8f,a34deda01c,4
Wakuriya,2,37.52114,-122.3366,a70c3bcf1d,9239c22d1d,4
Sushi Yoshizumi,2,37.565075,-122.3211,a70c3bcf1d,9239c22d1d,4
Rasa,2,37.577522,-122.345985,a70c3bcf1d,a151302157,2
Maum,2,37.72669,-122.414215,c5411d5f8f,dec66c5bf0,4
Al's Place,2,37.748924,-122.42013,a70c3bcf1d,214b5cbd02,2
Aster,2,37.755054,-122.423134,a70c3bcf1d,214b5cbd02,3
Omakase,2,37.77077,-122.40298,a70c3bcf1d,9239c22d1d,4
Commonwealth,2,37.761395,-122.41946,a70c3bcf1d,a34deda01c,2
Luce,2,37.78194,-122.40498,a70c3bcf1d,a34deda01c,3
Birdsong,2,37.779495,-122.41048,a70c3bcf1d,ee70dc0a6c,4
In Situ,2,37.785633,-122.40113,a70c3bcf1d,bc440f645c,4
Mourad,2,37.78695,-122.39987,a70c3bcf1d,b3e5455bcf,3
Hashiri,2,37.783062,-122.40754,a70c3bcf1d,9239c22d1d,4
Angler,2,37.793167,-122.39213,a70c3bcf1d,a34deda01c,4
Rich Table,2,37.774914,-122.42271,a70c3bcf1d,a34deda01c,3
Kin Khao,2,37.785267,-122.40951,a70c3bcf1d,c32767e054,2
Michael Mina,2,37.79349,-122.399574,a70c3bcf1d,a34deda01c,4
Sons & Daughters,2,37.79037,-122.40917,a70c3bcf1d,a34deda01c,4
Mister Jiu's,2,37.79371,-122.406654,a70c3bcf1d,15dc188655,3
Nico,2,37.795803,-122.40333,a70c3bcf1d,a34deda01c,3
jÅ«-ni,2,37.77672,-122.43886,a70c3bcf1d,9239c22d1d,4
Keiko Ã  Nob Hill,2,37.793106,-122.41445,a70c3bcf1d,cdf2e5fcd3,4
The Progress,2,37.78371,-122.43282,a70c3bcf1d,214b5cbd02,3
State Bird Provisions,2,37.783737,-122.43283,a70c3bcf1d,ee70dc0a6c,2
Octavia,2,37.787857,-122.42709,a70c3bcf1d,214b5cbd02,3
SPQR,2,37.78732,-122.43375,a70c3bcf1d,485b57adcc,3
Lord Stanley,2,37.79592,-122.42208,a70c3bcf1d,214b5cbd02,3
Kinjo,2,37.79699,-122.422005,a70c3bcf1d,9239c22d1d,4
Sorrel,2,37.788334,-122.44614,a70c3bcf1d,214b5cbd02,3
Gary Danko,2,37.80599,-122.42066,a70c3bcf1d,a34deda01c,4
Bar Crenn,2,37.798435,-122.43581,a70c3bcf1d,44389f6a46,3
Spruce,2,37.78772,-122.45264,a70c3bcf1d,214b5cbd02,3
Wako,2,37.783035,-122.461525,a70c3bcf1d,9239c22d1d,4
Madcap,2,37.974712,-122.56168,a70c3bcf1d,a34deda01c,4
Aubergine,2,36.55406,-121.924355,db8e72fbb7,a34deda01c,4
Kenzo,2,38.29924,-122.28928,a70c3bcf1d,9239c22d1d,4
La Toque,2,38.30351,-122.28349,a70c3bcf1d,a34deda01c,4
Bouchon,2,38.40258,-122.3619,a70c3bcf1d,44389f6a46,3
Auberge du Soleil,2,38.49199,-122.40534,a70c3bcf1d,214b5cbd02,4
Farmhouse Inn & Restaurant,2,38.49039,-122.8835,a70c3bcf1d,214b5cbd02,4
The Kitchen,2,38.58894,-121.41424,a06f655f6a,a34deda01c,4
Madrona Manor,2,38.60428,-122.88647,a70c3bcf1d,a34deda01c,4
Harbor House,2,39.135876,-123.719444,a70c3bcf1d,214b5cbd02,4
Shin Sushi,2,34.15784,-118.49415,96d0aa70fa,9239c22d1d,3
Rustic Canyon,2,34.024952,-118.49118,96d0aa70fa,214b5cbd02,3
Dialogue,2,34.01679,-118.49748,96d0aa70fa,a34deda01c,4
Kato,2,34.041683,-118.460915,96d0aa70fa,652670c84e,3
